,Weights of regression,Bias of regression,Graph_index
15,"[ 0.12034075 -0.06734727 -0.06540973 -0.06539126 -0.06538084 -0.06542251
 -0.06540041 -0.06496447 -0.0653962  -0.06539187 -0.06615616 -0.06542347
 -0.06696595 -0.06626689 -0.06624025 -0.06542687 -0.06763135 -0.06542632
 -0.06543984 -0.06546175  0.42040735  0.42021424  0.41735888  0.41941446
  0.42064574]",0.019827724,475
16,"[ 0.1208533  -0.06219415 -0.06641094 -0.06639228 -0.066388   -0.06660947
 -0.06639177 -0.0667426  -0.06639441 -0.06645212 -0.06640443 -0.06638221
 -0.06638381 -0.06639618 -0.06639409 -0.06637847 -0.06640625 -0.06640454
 -0.06638609 -0.06471933  0.42113253  0.42111036  0.42156598  0.42074022
  0.42170352]",0.019827604,480
17,"[ 0.11994413 -0.0669897  -0.06716505 -0.06645049 -0.06617682 -0.06437466
 -0.06697324 -0.06615494 -0.06569789 -0.06569938 -0.06618015 -0.06437004
 -0.06722978 -0.06617999 -0.0656587  -0.06573168 -0.06568617 -0.06568927
 -0.06570703 -0.06569134  0.42076483  0.4204976   0.42006445  0.42034084
  0.4212314 ]",0.019827902,485
18,"[ 0.11931902  0.0211143  -0.06649263 -0.06649034 -0.06651101 -0.06649953
 -0.06647228 -0.06652002 -0.06679112 -0.06650686 -0.06648796 -0.06649542
 -0.06649037 -0.06647274 -0.06650136 -0.06649342 -0.06649156 -0.06649923
 -0.06651004 -0.06649817  0.42023346  0.42004672  0.3531972   0.41253757
  0.41897568]",0.019827604,490
19,"[ 0.1198209  -0.05479158 -0.06671326 -0.06677958 -0.06677634 -0.06669322
 -0.06675562 -0.06679483 -0.0667882  -0.06678732 -0.06669696 -0.06677413
 -0.06676783 -0.06675458 -0.06677325 -0.06669313 -0.06677215 -0.0667727
 -0.06674978 -0.06514829  0.42134055  0.42135763  0.42104873  0.42108247
  0.42146865]",0.019827604,495
20,"[ 0.11968031  0.02171767 -0.06563241 -0.06595262 -0.06599269 -0.06598987
 -0.06595392 -0.0659865  -0.06599279 -0.06595384 -0.06598731 -0.06598832
 -0.06600292 -0.06597613 -0.06594878 -0.0659641  -0.06595675 -0.06598056
 -0.0655157  -0.06593557  0.42011744  0.42075154  0.33863962  0.41398522
  0.42011842]",0.019827753,500
21,"[ 0.12232127 -0.06610735 -0.06651021 -0.06660005 -0.06651191 -0.06612187
 -0.06536133 -0.0664625  -0.06640391 -0.06659099 -0.06647997 -0.06655806
 -0.06654286 -0.06657004 -0.06543707 -0.06656147 -0.06648358 -0.0664762
 -0.06650936 -0.06656331  0.42228633  0.42221448  0.42215624  0.4217081
  0.4221709 ]",0.019827455,505
22,"[-0.00080206 -0.00114369 -0.00097843 -0.00077447 -0.00017729  0.00091148
 -0.00097846 -0.00017814  0.0009114  -0.00074378 -0.00017726  0.00012496
 -0.00017722  0.00089757 -0.00109399  0.0009346   0.00091148  0.00091153
  0.00088321 -0.00109893  0.00110827  0.00097846  0.00109466  0.00109555
  0.00097942]",0.9801281,510
23,"[ 5.24684903e-04  3.26626119e-04  4.92625404e-05  1.15016504e-04
 -2.55420746e-05  6.43765670e-04  1.08909793e-04  1.08856606e-04
  1.35408307e-04  1.08878157e-04  1.08869572e-04  6.43787323e-04
  1.23748626e-03  1.35421025e-04  1.05472558e-04  1.15014700e-04
  1.36479823e-04  1.36394141e-04  1.05458661e-04  1.05458486e-04
  7.93682411e-04  2.24260628e-04  7.34880334e-04  7.34861242e-04
  2.24287709e-04]",0.98012793,515
24,"[ 0.12118334 -0.06618541 -0.0663235  -0.06634913 -0.06635001 -0.06636059
 -0.06634735 -0.06620707 -0.0663471  -0.06633721 -0.06620533 -0.06633889
 -0.06632684 -0.06635501 -0.06631808 -0.06635886 -0.06634369 -0.0663344
 -0.06634445 -0.06634469  0.4219178   0.42196745  0.42252076  0.421967
  0.4227398 ]",0.019827604,520
