,Weights of regression,Bias of regression,Graph_index
70,"[ 0.11934404 -0.06698341 -0.06591131 -0.06704244 -0.06546763 -0.0654702
 -0.0659028  -0.0654722  -0.06540433 -0.06589347 -0.06547849 -0.06540062
 -0.06597982 -0.06590781 -0.06494353 -0.06590617 -0.06542823 -0.06541683
 -0.06541631 -0.06540741  0.42046636  0.4206199   0.41701254  0.4191489
  0.42074713]",0.019827664,450
71,"[0.00090051 0.00022519 0.00021638 0.00021642 0.00021642 0.00027422
 0.00021642 0.00021424 0.00021643 0.00022015 0.00021639 0.00021622
 0.00022014 0.00021533 0.00021425 0.00022172 0.00021428 0.00021641
 0.00021643 0.00022288 0.00095948 0.00027018 0.00094886 0.00094884
 0.0002702 ]",0.9801279,455
72,"[-2.5348905e-05  3.5358279e-04  4.7448027e-04 -5.0049979e-04
 -5.1358587e-04 -1.7333959e-04  4.9353263e-04  2.5615369e-03
 -5.1362254e-04 -1.7317335e-04  4.9342157e-04  5.7212182e-04
  4.7448365e-04  4.7444022e-04  4.9483863e-04  4.7444424e-04
  4.7441688e-04  4.7445385e-04  4.9484661e-04 -2.9100914e-04
 -1.7544729e-04 -2.0817746e-04  3.3914766e-05  3.3879594e-05
 -2.0833552e-04]",0.980128,460
73,"[-0.00101369  0.00022155  0.00026072  0.00050571  0.00051363  0.00042143
  0.00042143  0.00045317  0.00049011  0.00045314  0.0004901   0.00045314
  0.00049507  0.00049011  0.00051453  0.00050071  0.00055605  0.00055607
  0.00045317  0.00055596 -0.0007703  -0.00081181 -0.00053559 -0.00053572
 -0.00081182]",0.98012805,465
74,"[ 0.11818552 -0.06712746 -0.06557387 -0.0655475  -0.06555941 -0.06712541
 -0.06513205 -0.06561023 -0.0656485  -0.06562177 -0.06565537 -0.06563921
 -0.06555479 -0.06563889 -0.06554227 -0.06561701 -0.06561519 -0.06562037
 -0.06562318 -0.06563329  0.42069447  0.42091215  0.41776064  0.41896942
  0.42109692]",0.019827753,470
75,"[ 0.12035489 -0.06730401 -0.06532379 -0.06532337 -0.06543878 -0.06542429
 -0.06539982 -0.06495952 -0.0654199  -0.06540812 -0.06615878 -0.06542907
 -0.06703088 -0.06623738 -0.0662756  -0.06541467 -0.06765254 -0.06545331
 -0.06541445 -0.06544622  0.4203573   0.42023987  0.4173801   0.41939893
  0.42062125]",0.019827962,475
76,"[ 0.12083758 -0.06219379 -0.06642217 -0.06638955 -0.06638453 -0.06663156
 -0.06640587 -0.06670973 -0.06639687 -0.06640629 -0.06641255 -0.06640466
 -0.06639946 -0.06640909 -0.06641701 -0.06639839 -0.06641251 -0.06642051
 -0.06641037 -0.06474108  0.4211894   0.42115983  0.42156252  0.420793
  0.42169768]",0.019828081,480
77,"[ 0.11992575 -0.06701788 -0.06714847 -0.06643749 -0.06617774 -0.06436914
 -0.06697874 -0.06616911 -0.06571566 -0.06569053 -0.06615431 -0.06439965
 -0.06720901 -0.06615633 -0.06566566 -0.06570437 -0.06566747 -0.06568182
 -0.06569741 -0.06571242  0.42076996  0.42046112  0.4200763   0.42030492
  0.42125243]",0.019827753,485
78,"[ 0.11916765  0.02108094 -0.06666099 -0.06652926 -0.0665393  -0.06653825
 -0.06653096 -0.06652664 -0.06652075 -0.06654011 -0.06651945 -0.06652245
 -0.06652498 -0.06652029 -0.06651191 -0.06665773 -0.06653053 -0.06651878
 -0.06652126 -0.06653634  0.42018592  0.42024446  0.35317934  0.4128175
  0.41927412]",0.019827545,490
79,"[ 0.11984796 -0.0548019  -0.06678284 -0.06676289 -0.06674536 -0.06676541
 -0.06676885 -0.06675479 -0.0667583  -0.06677215 -0.06674507 -0.06677063
 -0.06676288 -0.06674051 -0.06675549 -0.06675088 -0.06676096 -0.0667538
 -0.06677144 -0.06516461  0.42136773  0.4213677   0.42106757  0.42109615
  0.4214774 ]",0.019827902,495
80,"[ 0.11964887  0.02175695 -0.06561863 -0.06597535 -0.0659117  -0.06600091
 -0.06598447 -0.06601539 -0.06599528 -0.06595246 -0.0660271  -0.06597888
 -0.06594646 -0.06596193 -0.06594397 -0.06602095 -0.06594744 -0.06600609
 -0.06555565 -0.06597723  0.42011526  0.42074597  0.3387316   0.41398245
  0.42013842]",0.019827753,500
81,"[ 0.12234497 -0.06608098 -0.066498   -0.06657856 -0.06656919 -0.06608357
 -0.06541099 -0.06644152 -0.06653027 -0.06658496 -0.06645343 -0.06652536
 -0.06653626 -0.06652886 -0.06541809 -0.0665287  -0.06645133 -0.0665243
 -0.06657671 -0.06653611  0.42231262  0.4222476   0.42210162  0.4216562
  0.4221999 ]",0.019827336,505
82,"[-0.00080201 -0.00114394 -0.00097842 -0.00077474 -0.00017723  0.00091147
 -0.00097858 -0.00017738  0.0009115  -0.00074398 -0.00017753  0.00012475
 -0.00017729  0.00089756 -0.00109421  0.0009355   0.00091122  0.00091115
  0.00088297 -0.00109891  0.00110804  0.0009792   0.00109535  0.00109529
  0.00097911]",0.98012805,510
83,"[ 5.24722505e-04  3.26658715e-04  4.93640546e-05  1.15032832e-04
 -2.55134946e-05  6.43856009e-04  1.09002256e-04  1.08965804e-04
  1.35311042e-04  1.08841108e-04  1.08854685e-04  6.43824926e-04
  1.23740872e-03  1.35388662e-04  1.05469284e-04  1.15024362e-04
  1.36466464e-04  1.36425631e-04  1.05334213e-04  1.05495856e-04
  7.93695799e-04  2.24095944e-04  7.34914851e-04  7.34745292e-04
  2.24296149e-04]",0.98012793,515
84,"[ 0.12106767 -0.06623749 -0.0662958  -0.06632537 -0.06628892 -0.06628898
 -0.06634358 -0.06633876 -0.06632274 -0.066323   -0.06632969 -0.06632477
 -0.06632574 -0.06634229 -0.06629498 -0.06634419 -0.06633374 -0.06632437
 -0.06632921 -0.06632604  0.42192057  0.42198196  0.42258024  0.42196047
  0.4227477 ]",0.019827485,520
85,"[-0.12466012  0.25383794  0.25362825  0.2535789   0.25365132  0.25363684
  0.25265348 -0.11708729  0.25266406 -0.1168524  -0.11708882  0.25187057
 -0.11756237  0.25144953 -0.11688693  0.25156528 -0.11756335 -0.11940098
 -0.12456742 -0.12457581 -0.11826059 -0.11706884 -0.11872642 -0.118712
 -0.11704811]",0.019832522,525
86,"[ 0.11943402  0.0210238  -0.06652685 -0.06652442 -0.06650192 -0.06651398
 -0.06652378 -0.06651332 -0.06650542 -0.06649892 -0.06651796 -0.06648755
 -0.06651311 -0.06649073 -0.06653154 -0.06652457 -0.06652407 -0.06649013
 -0.06651731 -0.06652059  0.4195489   0.42030558  0.3531735   0.41268098
  0.41929555]",0.019827843,530
87,"[0.00115461 0.00028656 0.00030745 0.00026176 0.00027102 0.0003075
 0.00026115 0.00030744 0.00026104 0.00027101 0.0002658  0.00026582
 0.00030748 0.00030747 0.0002872  0.00028718 0.00021962 0.00028255
 0.00030744 0.00028725 0.00044081 0.00027957 0.00038479 0.00038474
 0.00027957]",0.9801278,535
88,"[ 0.12077347  0.02141856 -0.06669463 -0.06664649 -0.0667116  -0.06664224
 -0.06664489 -0.06670628 -0.06665741 -0.06669189 -0.06663765 -0.06671402
 -0.06664294 -0.06666632 -0.06664005 -0.06662279 -0.06663276 -0.06661895
 -0.06665069 -0.06662513  0.42016712  0.4201647   0.3536405   0.41279548
  0.4189694 ]",0.019827604,540
89,"[ 0.11857806 -0.06639403 -0.06640975 -0.06638826 -0.06638786 -0.06638845
 -0.06640361 -0.06639133 -0.06640419 -0.06503688 -0.06637415 -0.06640789
 -0.06637342 -0.06637914 -0.0664148  -0.06641492 -0.06640969 -0.06638505
 -0.06503975 -0.06641221  0.42193192  0.42193374  0.4225885   0.4233055
  0.42267776]",0.019827664,545
90,"[-0.04061664 -0.0406346  -0.04053031 -0.04051527 -0.04051915 -0.04024451
 -0.04050768 -0.04047991 -0.04050521 -0.04048368 -0.04049255 -0.04050973
 -0.04027979 -0.04028289 -0.04048367 -0.04050192 -0.04051128 -0.04052369
 -0.0404814  -0.040642    0.44345003  0.44438335  0.44554913  0.443294  ]",0.019827574,550
91,"[ 0.11947314  0.02088489 -0.0664811  -0.06648967 -0.06648119 -0.0664829
 -0.06647927 -0.0664911  -0.06648508 -0.06647606 -0.06648737 -0.06648532
 -0.066516   -0.06652535 -0.06647693 -0.06647702 -0.0664683  -0.06647217
 -0.0665265  -0.06649035  0.4197491   0.4203597   0.35256362  0.41276187
  0.41922367]",0.019827813,555
92,"[ 0.12136638 -0.06609003 -0.06597959 -0.06609674 -0.06611164 -0.06609157
 -0.0647538  -0.06611168 -0.06477508 -0.06614515 -0.06612674 -0.0660973
 -0.06613293 -0.06609251 -0.06610785 -0.06613632 -0.06609836 -0.06610945
 -0.06611118 -0.0661253   0.4207125   0.42066148  0.42100757  0.42041215
  0.42119348]",0.019827425,560
93,"[0.0008819  0.00028856 0.00019099 0.00029429 0.00018128 0.00019106
 0.00019106 0.00023519 0.00019102 0.00029436 0.00019292 0.00019131
 0.00018191 0.0002358  0.00019257 0.00021481 0.00019258 0.00019133
 0.00029433 0.00019244 0.00101711 0.0002169  0.00091818 0.00091816
 0.00021696]",0.9801278,565
94,"[ 0.12081011 -0.05487972 -0.06679114 -0.06680454 -0.06677971 -0.06681276
 -0.06681266 -0.06679559 -0.06679537 -0.06679678 -0.06679046 -0.0667892
 -0.06679568 -0.06678932 -0.06517823 -0.06680286 -0.06679512 -0.06676374
 -0.06676834 -0.06678896  0.42095572  0.42099655  0.42126986  0.4211672
  0.4216624 ]",0.019827902,570
95,"[0.00070293 0.00013828 0.00017088 0.00050431 0.00020689 0.0002759
 0.00025753 0.00031136 0.00025763 0.00027172 0.00022843 0.00045409
 0.00027163 0.00022437 0.00023555 0.0002356  0.00045411 0.00027053
 0.00050433 0.00027173 0.00044157 0.00028409 0.00039667 0.00039673
 0.00028406]",0.9801279,575
96,"[6.2252639e-04 1.0326074e-04 1.0009427e-04 3.0808180e-04 4.9259968e-04
 2.1868630e-04 6.5236425e-05 2.5956187e-04 2.1868430e-04 4.9258705e-04
 2.1865635e-04 2.7407022e-04 1.9305707e-04 9.8432065e-06 2.1933048e-04
 1.9352871e-04 2.1952561e-04 2.1949102e-04 2.1868190e-04 2.1623961e-04
 8.8878052e-04 1.1000293e-04 8.8021124e-04 8.7976886e-04 1.0999681e-04]",0.9801279,580
97,"[ 0.12083101 -0.06457774 -0.06669614 -0.06670532 -0.06676195 -0.0662481
 -0.06455673 -0.06624174 -0.06622085 -0.06670918 -0.06680393 -0.06623322
 -0.06625077 -0.06621827 -0.06623514 -0.06677479 -0.06623374 -0.06623633
 -0.06624352 -0.06677575  0.42195714  0.42200783  0.4216911   0.421316
  0.42204624]",0.019827425,585
98,"[0.00083909 0.00024466 0.00024786 0.00024468 0.00024467 0.00019648
 0.00018891 0.00024464 0.00024467 0.00022068 0.00018896 0.00022594
 0.00022069 0.00022594 0.00019307 0.00020628 0.00020623 0.00019655
 0.00020629 0.00019657 0.00096794 0.0002528  0.0009442  0.00094422
 0.0002529 ]",0.9801278,590
99,"[ 0.12015375 -0.06474106 -0.06668732 -0.06627121 -0.06655835 -0.06668144
 -0.06627044 -0.0667074  -0.06473238 -0.06627007 -0.06655382 -0.06665967
 -0.06596985 -0.06626364 -0.06674729 -0.06596361 -0.06603375 -0.06625773
 -0.06482239 -0.0663173   0.42129374  0.4211933   0.42132506  0.4212822
  0.4218832 ]",0.019827873,595
100,"[ 0.12129406 -0.06533561 -0.06597283 -0.06536102 -0.06596205 -0.0663711
 -0.06633944 -0.06637776 -0.0664416  -0.06644557 -0.06647624 -0.06645668
 -0.06645572 -0.06632268 -0.06644373 -0.06644728 -0.06644122 -0.06643464
 -0.066461   -0.06644222  0.42170715  0.4217247   0.42221117  0.42174894
  0.4223976 ]",0.019827604,600
101,"[ 0.11966415 -0.0649757  -0.06484609 -0.06496962 -0.0648841  -0.06497011
 -0.0649164  -0.06492908 -0.06479935 -0.06481264 -0.06481794 -0.06495165
 -0.06482423 -0.06483604 -0.06482724 -0.06482447 -0.06474721 -0.06486507
 -0.06485562 -0.06486568  0.41942734  0.41920823  0.40706432  0.41680318
  0.41675687]",0.01982814,605
102,"[ 0.12127154 -0.06451908 -0.06618454 -0.06623705 -0.06456589 -0.06649382
 -0.06644708 -0.06649634 -0.06648772 -0.06646328 -0.06649733 -0.06649444
 -0.06651905 -0.06649798 -0.0664494  -0.06649169 -0.06646515 -0.06655195
 -0.0664618  -0.06651179  0.4218135   0.42168593  0.42218527  0.42155752
  0.4224086 ]",0.019827485,610
103,"[ 0.12073231 -0.06654927 -0.06631686 -0.06657618 -0.06436323 -0.06653205
 -0.06631142 -0.06656218 -0.06633208 -0.06438016 -0.06633136 -0.06631617
 -0.06631507 -0.06660579 -0.0663583  -0.06630923 -0.06662853 -0.06637978
 -0.06631444 -0.06632642  0.42150882  0.42148468  0.4220273   0.4214029
  0.42222834]",0.019827425,615
104,"[ 0.12073033 -0.05486441 -0.06681652 -0.06518848 -0.0668055  -0.06679459
 -0.06680106 -0.0667722  -0.06677819 -0.06678897 -0.06678911 -0.06680331
 -0.0667908  -0.06677873 -0.06677429 -0.06679498 -0.0667743  -0.06677601
 -0.06677935 -0.066788    0.42093968  0.42100024  0.42129043  0.4211636
  0.42165536]",0.019827425,620
105,"[ 0.12067813 -0.05518927 -0.06673318 -0.06671077 -0.06672331 -0.06671849
 -0.06650265 -0.06650384 -0.06671412 -0.06673181 -0.06672919 -0.06673706
 -0.06664065 -0.06671865 -0.0667171  -0.06671648 -0.06642021 -0.06670405
 -0.06671813 -0.06672221  0.42086023  0.42086548  0.4213684   0.42114273
  0.42189702]",0.019827396,625
106,"[ 0.12118363 -0.05877521 -0.06664129 -0.06664814 -0.06661887 -0.06669064
 -0.06663465 -0.06662184 -0.06664672 -0.06663347 -0.06663465 -0.06663283
 -0.06668466 -0.06663558 -0.06662826 -0.06662866 -0.06662071 -0.066646
 -0.06663823 -0.06661223  0.42143977  0.42151353  0.4220933   0.4215563
  0.4222219 ]",0.019827724,630
107,"[ 2.66521005e-04  1.46204024e-04  2.41456160e-04  2.67647847e-04
  3.23922664e-04  9.55760130e-04  3.23991670e-04  3.23988555e-04
  2.47079937e-04  3.66567372e-04  2.59844441e-04  2.93178309e-04
  3.40313301e-04  3.66484019e-04  3.24410328e-04  3.66429915e-04
  3.66424327e-04  2.93102523e-04  3.23997636e-04 -2.05037184e-04
 -1.00075136e-04 -5.21426118e-05  1.28099331e-04  1.28108295e-04
 -5.22349001e-05]",0.980128,635
108,"[ 0.12117884 -0.06627687 -0.06631693 -0.06632167 -0.06626363 -0.0662749
 -0.06631127 -0.06629766 -0.06631292 -0.06628329 -0.06628692 -0.06632556
 -0.06627046 -0.06631424 -0.0662869  -0.06631624 -0.0663205  -0.06633035
 -0.06631701 -0.06630228  0.42182082  0.42191434  0.4224292   0.42196235
  0.42264187]",0.019827485,640
109,"[ 0.12064733 -0.05531342 -0.06677143 -0.06676901 -0.06676072 -0.0667759
 -0.06677263 -0.06676418 -0.06522405 -0.0667692  -0.06676097 -0.06676868
 -0.06676929 -0.06673324 -0.06675847 -0.06674285 -0.06678284 -0.06677321
 -0.06676479 -0.06677449  0.42100337  0.4210483   0.42129594  0.42106062
  0.42170584]",0.019827485,645
110,"[0.0008771  0.00021975 0.00023089 0.00021077 0.00020804 0.00021074
 0.00021077 0.00021076 0.00021086 0.00020803 0.00021088 0.00021079
 0.00020804 0.00021975 0.00021077 0.00022272 0.000208   0.00021085
 0.0002227  0.00020804 0.00097356 0.00026359 0.00093843 0.00093842
 0.00026365]",0.9801278,650
111,"[ 0.12058512 -0.06633134 -0.06628974 -0.06631462 -0.06627819 -0.06632316
 -0.06627546 -0.06599085 -0.06632435 -0.06627553 -0.06633058 -0.06636663
 -0.06597675 -0.06636943 -0.06632277 -0.06634009 -0.06635623 -0.06638193
 -0.06636646 -0.06597251  0.42184454  0.4219149   0.42243046  0.42198712
  0.42264262]",0.019827515,655
112,"[0.00108777 0.00043264 0.00023453 0.00021259 0.00023321 0.00029196
 0.00011077 0.00018487 0.00024045 0.00019161 0.00022522 0.00021639
 0.00043262 0.00020297 0.00015687 0.00043263 0.00028797 0.0002252
 0.00024043 0.00022741 0.00040566 0.00025426 0.00036791 0.00036792
 0.00025425]",0.98012793,660
113,"[ 0.11947881 -0.06613147 -0.0663487  -0.06636025 -0.06636634 -0.06629543
 -0.06597735 -0.06634773 -0.0663393  -0.06629824 -0.06635329 -0.06608023
 -0.06634883 -0.06635231 -0.06594884 -0.06633859 -0.06595172 -0.06633528
 -0.06634434 -0.06628996  0.42209107  0.42206737  0.4226889   0.42205665
  0.42281324]",0.019827127,665
114,"[ 0.12001307 -0.06700909 -0.06615238 -0.06770261 -0.06736501 -0.06546651
 -0.06541637 -0.06542613 -0.06542233 -0.06495804 -0.06542677 -0.06540138
 -0.06541964 -0.06533988 -0.06627132 -0.06542472 -0.06543095 -0.06626534
 -0.06541703 -0.06550391  0.42095023  0.4205702   0.4171169   0.41956124
  0.4203718 ]",0.019827604,670
115,"[6.21975691e-04 7.22373370e-05 2.24760137e-04 1.13823829e-04
 4.21878503e-04 2.24758303e-04 1.36028029e-04 4.21875680e-04
 2.74163263e-04 2.36289823e-04 2.24767384e-04 2.10022277e-04
 1.13836926e-04 1.03472557e-05 2.36261141e-04 2.36282416e-04
 2.36307504e-04 2.36294101e-04 1.03649218e-05 4.21906705e-04
 8.94615427e-04 1.05137209e-04 8.96299898e-04 8.96400539e-04
 1.05136307e-04]",0.9801278,675
116,"[1.6360093e-04 8.0679078e-05 2.9432640e-04 7.9791294e-05 3.0880910e-04
 3.0219351e-04 3.0505509e-04 3.0217977e-04 2.9434497e-04 9.1569265e-05
 2.9433551e-04 3.0218717e-04 3.0220969e-04 3.0224337e-04 3.0162078e-04
 3.0223461e-04 3.2494718e-05 3.0221231e-04 3.0219165e-04 3.0218367e-04
 5.0951191e-04 3.7925199e-04 4.8117284e-04 4.8118478e-04 3.7923580e-04]",0.980128,680
117,"[ 4.9588823e-04  1.7191051e-06  2.0854098e-03 -1.8884262e-04
  7.9562509e-04  3.7905949e-05  1.1640994e-05  3.7914899e-05
  2.0853954e-03  8.7191249e-05 -7.3836753e-05  8.7035456e-05
  1.3591575e-04 -7.3828021e-05  5.8236270e-05  1.3572913e-04
  1.8337587e-04  3.7914739e-05 -7.3841264e-05  5.8995720e-05
  3.6095388e-04  6.2114472e-05  4.5869302e-04  4.5867672e-04
  6.2146399e-05]",0.9801278,685
118,"[ 0.1210838  -0.0663851  -0.06634364 -0.06637221 -0.06638848 -0.06634286
 -0.066385   -0.06643706 -0.06638197 -0.06639762 -0.06638183 -0.06643011
 -0.06637713 -0.0663311  -0.0663773  -0.06634259 -0.06635194 -0.06638141
 -0.06634832 -0.06638689  0.42256674  0.42259502  0.42256272  0.42186722
  0.4225764 ]",0.019827515,690
119,"[1.57579503e-04 1.65794161e-04 9.56387667e-05 1.04732215e-04
 1.16711701e-04 8.33228696e-05 8.14697414e-05 7.28715386e-05
 1.18020078e-04 7.96062959e-05 1.04699837e-04 1.04667270e-04
 8.15186359e-05 7.75210647e-05 7.85195443e-05 8.17388063e-05
 7.07234431e-05 7.81765702e-05 8.14881787e-05 9.18772130e-05
 2.50692409e-03 6.72693830e-04 7.65974750e-04 1.47698098e-03]",0.9801281,695
